utility,type,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
electric,customer,,,,,,,,,,283.03,283.03,$/month,
electric,energy,,0.0,0.0,1.0,3.0,0.0,6.0,0.0,4.0,0.03748,0.03748,$/kWh,Fuel charge included with energy
electric,energy,,0.0,0.0,1.0,3.0,6.0,10.0,0.0,4.0,0.0435,0.0435,$/kWh,
electric,energy,,0.0,0.0,1.0,3.0,10.0,18.0,0.0,4.0,0.03748,0.03748,$/kWh,
electric,energy,,0.0,0.0,1.0,3.0,18.0,22.0,0.0,4.0,0.0435,0.0435,$/kWh,
electric,energy,,0.0,0.0,1.0,3.0,22.0,24.0,0.0,4.0,0.03748,0.03748,$/kWh,
electric,energy,,0.0,0.0,4.0,10.0,0.0,12.0,0.0,4.0,0.03748,0.03748,$/kWh,
electric,energy,,0.0,0.0,4.0,10.0,12.0,21.0,0.0,4.0,0.0435,0.0435,$/kWh,
electric,energy,,0.0,0.0,4.0,10.0,21.0,24.0,0.0,4.0,0.03748,0.03748,$/kWh,
electric,energy,,0.0,0.0,11.0,12.0,0.0,6.0,0.0,4.0,0.03748,0.03748,$/kWh,
electric,energy,,0.0,0.0,11.0,12.0,6.0,10.0,0.0,4.0,0.0435,0.0435,$/kWh,
electric,energy,,0.0,0.0,11.0,12.0,10.0,18.0,0.0,4.0,0.03748,0.03748,$/kWh,
electric,energy,,0.0,0.0,11.0,12.0,18.0,22.0,0.0,4.0,0.0435,0.0435,$/kWh,
electric,energy,,0.0,0.0,11.0,12.0,22.0,24.0,0.0,4.0,0.03748,0.03748,$/kWh,
electric,energy,,0.0,0.0,1.0,12.0,0.0,24.0,5.0,6.0,0.03748,0.03748,$/kWh,
electric,demand,winter-peak1,0.0,0.0,1.0,3.0,6.0,10.0,0.0,4.0,14.340000000000002,14.340000000000002,$/kW,Conservation and capacity charges included with demand
electric,demand,winter-peak1,0.0,0.0,1.0,3.0,18.0,22.0,0.0,4.0,14.340000000000002,14.340000000000002,$/kW,
electric,demand,summer-peak,0.0,0.0,4.0,10.0,12.0,21.0,0.0,4.0,14.340000000000002,14.340000000000002,$/kW,
electric,demand,winter-peak2,0.0,0.0,11.0,12.0,6.0,10.0,0.0,4.0,14.340000000000002,14.340000000000002,$/kW,
electric,demand,winter-peak2,0.0,0.0,11.0,12.0,18.0,22.0,0.0,4.0,14.340000000000002,14.340000000000002,$/kW,
electric,demand,maximum,0.0,0.0,1.0,12.0,0.0,24.0,0.0,6.0,2.74,2.74,$/kW,
gas,customer,,,,,,,,,,300.0,300.0,$/month,
gas,energy,,0.0,0.0,1.0,12.0,0.0,24.0,0.0,6.0,0.90733,0.32042109277884506,$/therm or $/m3,Includes Purchased Gas Adjustment (PGA)
gas,demand,maximum,0.0,0.0,1.0,12.0,0.0,24.0,0.0,6.0,13.799999999999999,4.873432026217651,$/therm/hr or $/m3/hr,
