utility,type,period,basic_charge_limit,assessed,month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (metric),units
electric,customer,electric-customer,,,,,,,,,1352.6313,$/month
electric,demand,peak-summer,0.0,monthly,5.0,10.0,12.25,17.75,0.0,4.0,21.19,$/kW
electric,demand,half-peak-summer1,0.0,monthly,5.0,10.0,8.5,12.25,0.0,4.0,5.88,$/kW
electric,demand,half-peak-summer2,0.0,monthly,5.0,10.0,17.75,21.5,0.0,4.0,5.88,$/kW
electric,demand,off-peak,0.0,monthly,1.0,12.0,0.0,24.0,0.0,6.0,21.3,$/kW
electric,demand,half-peak-winter1,0.0,monthly,1.0,4.0,8.75,11.75,0.0,4.0,0.06,$/kW
electric,demand,half-peak-winter1,0.0,monthly,1.0,4.0,18.0,21.5,0.0,4.0,0.06,$/kW
electric,demand,half-peak-winter2,0.0,monthly,11.0,12.0,8.75,11.75,0.0,4.0,0.06,$/kW
electric,demand,half-peak-winter2,0.0,monthly,11.0,12.0,18.0,21.5,0.0,4.0,0.06,$/kW
electric,energy,off-peak,0.0,,5.0,10.0,0.0,8.5,0.0,4.0,0.08981,$/kWh
electric,energy,half-peak-summer,0.0,,5.0,10.0,8.5,12.25,0.0,4.0,0.1196,$/kWh
electric,energy,peak-summer,0.0,,5.0,10.0,12.25,17.75,0.0,4.0,0.16299,$/kWh
electric,energy,half-peak-summer,0.0,,5.0,10.0,17.75,21.5,0.0,4.0,0.1196,$/kWh
electric,energy,off-peak,0.0,,5.0,10.0,21.5,24.0,0.0,4.0,0.08981,$/kWh
electric,energy,off-peak,0.0,,5.0,10.0,0.0,24.0,5.0,6.0,0.08981,$/kWh
electric,energy,off-peak-winter,0.0,,1.0,4.0,0.25,8.25,0.0,4.0,0.1133,$/kWh
electric,energy,half-peak-winter1,0.0,,1.0,4.0,8.25,21.5,0.0,4.0,0.1133,$/kWh
electric,energy,off-peak-winter,0.0,,1.0,4.0,21.5,24.0,0.0,4.0,0.1133,$/kWh
electric,energy,off-peak-winter,0.0,,1.0,4.0,0.0,24.0,5.0,6.0,0.09716,$/kWh
electric,energy,off-peak-winter,0.0,,11.0,12.0,0.25,8.25,0.0,4.0,0.1133,$/kWh
electric,energy,half-peak-winter1,0.0,,11.0,12.0,8.25,21.5,0.0,4.0,0.1133,$/kWh
electric,energy,off-peak-winter,0.0,,11.0,12.0,21.5,24.0,0.0,4.0,0.1133,$/kWh
electric,energy,off-peak-winter,0.0,,11.0,12.0,0.0,24.0,5.0,6.0,0.09716,$/kWh
