utility,type,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
electric,customer,,,,,,,,,,600.0,600.0,$/month,
electric,energy,,0.0,0.0,1.0,5.0,0.0,7.0,0.0,4.0,0.05727,0.05727,$/kWh,
electric,energy,,0.0,0.0,1.0,5.0,7.0,11.0,0.0,4.0,0.08667,0.08667,$/kWh,
electric,energy,,0.0,0.0,1.0,5.0,11.0,17.0,0.0,4.0,0.07887999999999999,0.07887999999999999,$/kWh,
electric,energy,,0.0,0.0,1.0,5.0,17.0,21.0,0.0,4.0,0.08667,0.08667,$/kWh,
electric,energy,,0.0,0.0,1.0,5.0,21.0,24.0,0.0,4.0,0.05727,0.05727,$/kWh,
electric,energy,,0.0,0.0,1.0,5.0,0.0,24.0,5.0,6.0,0.05727,0.05727,$/kWh,
electric,energy,,0.0,0.0,6.0,9.0,0.0,7.0,0.0,4.0,0.05727,0.05727,$/kWh,
electric,energy,,0.0,0.0,6.0,9.0,7.0,10.0,0.0,4.0,0.07887999999999999,0.07887999999999999,$/kWh,
electric,energy,,0.0,0.0,6.0,9.0,10.0,20.0,0.0,4.0,0.08667,0.08667,$/kWh,
electric,energy,,0.0,0.0,6.0,9.0,20.0,23.0,0.0,4.0,0.07887999999999999,0.07887999999999999,$/kWh,
electric,energy,,0.0,0.0,6.0,9.0,23.0,24.0,0.0,4.0,0.05727,0.05727,$/kWh,
electric,energy,,0.0,0.0,6.0,9.0,0.0,24.0,5.0,6.0,0.05727,0.05727,$/kWh,
electric,energy,,0.0,0.0,10.0,12.0,0.0,7.0,0.0,4.0,0.05727,0.05727,$/kWh,
electric,energy,,0.0,0.0,10.0,12.0,7.0,11.0,0.0,4.0,0.07887999999999999,0.07887999999999999,$/kWh,
electric,energy,,0.0,0.0,10.0,12.0,11.0,17.0,0.0,4.0,0.08667,0.08667,$/kWh,
electric,energy,,0.0,0.0,10.0,12.0,17.0,21.0,0.0,4.0,0.07887999999999999,0.07887999999999999,$/kWh,
electric,energy,,0.0,0.0,10.0,12.0,21.0,24.0,0.0,4.0,0.05727,0.05727,$/kWh,
electric,energy,,0.0,0.0,10.0,12.0,0.0,24.0,5.0,6.0,0.05727,0.05727,$/kWh,
electric,demand,maximum,0.0,0.0,1.0,12.0,0.0,24.0,0.0,6.0,7.04,7.04,$/kW,
gas,customer,,,,,,,,,,101.3,101.3,$/month,
gas,energy,,0.0,0.0,1.0,12.0,0.0,24.0,0.0,6.0,0.5363,0.1893928692507628,$/therm or $/m3,
gas,energy,,10000.0,28316.8,1.0,12.0,0.0,24.0,0.0,6.0,0.28509999999999996,0.10068228048367046,$/therm or $/m3,
