utility,type,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
electric,customer,,,,,,,,,,52.56,52.56,$/month,
electric,demand,maximum,0.0,0.0,1.0,12.0,0.0,24.0,0.0,6.0,1.86,1.86,$/kW,
electric,demand,winter,0.0,0.0,1.0,5.0,8.0,20.0,0.0,4.0,5.09,5.09,$/kW,
electric,demand,summer,0.0,0.0,6.0,9.0,8.0,20.0,0.0,4.0,5.48,5.48,$/kW,
electric,demand,winter,0.0,0.0,10.0,12.0,8.0,20.0,0.0,4.0,5.09,5.09,$/kW,
electric,energy,,0.0,0.0,1.0,1.0,0.0,8.0,0.0,4.0,0.02767121882,0.02767121882,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,1.0,1.0,20.0,24.0,0.0,4.0,0.02767121882,0.02767121882,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,1.0,1.0,8.0,20.0,0.0,4.0,0.03017049378,0.03017049378,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,1.0,1.0,0.0,24.0,5.0,6.0,0.02767121882,0.02767121882,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,2.0,2.0,0.0,8.0,0.0,4.0,0.03899305164,0.03899305164,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,2.0,2.0,20.0,24.0,0.0,4.0,0.03899305164,0.03899305164,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,2.0,2.0,8.0,20.0,0.0,4.0,0.04469269344,0.04469269344,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,2.0,2.0,0.0,24.0,5.0,6.0,0.03899305164,0.03899305164,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,3.0,3.0,0.0,8.0,0.0,4.0,0.03187298452,0.03187298452,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,3.0,3.0,20.0,24.0,0.0,4.0,0.03187298452,0.03187298452,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,3.0,3.0,8.0,20.0,0.0,4.0,0.03066592768,0.03066592768,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,3.0,3.0,0.0,24.0,5.0,6.0,0.03187298452,0.03187298452,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,4.0,4.0,0.0,8.0,0.0,4.0,0.03002261833,0.03002261833,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,4.0,4.0,20.0,24.0,0.0,4.0,0.03002261833,0.03002261833,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,4.0,4.0,8.0,20.0,0.0,4.0,0.02952926205,0.02952926205,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,4.0,4.0,0.0,24.0,5.0,6.0,0.03002261833,0.03002261833,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,5.0,5.0,0.0,8.0,0.0,4.0,0.02960447577,0.02960447577,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,5.0,5.0,20.0,24.0,0.0,4.0,0.02960447577,0.02960447577,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,5.0,5.0,8.0,20.0,0.0,4.0,0.03325155188,0.03325155188,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,5.0,5.0,0.0,24.0,5.0,6.0,0.02960447577,0.02960447577,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,6.0,6.0,0.0,8.0,0.0,4.0,0.0314833944,0.0314833944,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,6.0,6.0,20.0,24.0,0.0,4.0,0.0314833944,0.0314833944,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,6.0,6.0,8.0,20.0,0.0,4.0,0.03706530916,0.03706530916,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,6.0,6.0,0.0,24.0,5.0,6.0,0.0314833944,0.0314833944,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,7.0,7.0,0.0,8.0,0.0,4.0,0.03474070867,0.03474070867,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,7.0,7.0,20.0,24.0,0.0,4.0,0.03474070867,0.03474070867,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,7.0,7.0,8.0,20.0,0.0,4.0,0.04189489636,0.04189489636,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,7.0,7.0,0.0,24.0,5.0,6.0,0.03474070867,0.03474070867,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,8.0,8.0,0.0,8.0,0.0,4.0,0.03882722154,0.03882722154,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,8.0,8.0,20.0,24.0,0.0,4.0,0.03882722154,0.03882722154,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,8.0,8.0,8.0,20.0,0.0,4.0,0.04913115831,0.04913115831,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,8.0,8.0,0.0,24.0,5.0,6.0,0.03882722154,0.03882722154,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,9.0,9.0,0.0,8.0,0.0,4.0,0.0417026984,0.0417026984,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
electric,energy,,0.0,0.0,9.0,9.0,20.0,24.0,0.0,4.0,0.0417026984,0.0417026984,$/kWh,Monthly average of LMP plus base charge of $0.009275 / kWh
